Name,Date Time,Open,High,Low,Last,Volume,Open Interest
@ES#,6/26/2015,2096.5,2112.75,2077,2086.5,5635999,12715074
@ES#,7/3/2015,2054.75,2074,2037.5,2059.5,7178546,10480859
@ES#,7/10/2015,2059.25,2068.75,2025,2059.75,10453776,13331176
@ES#,7/17/2015,2045.5,2110.75,2042.75,2109.5,5447763,13007163
@ES#,7/24/2015,2108.75,2117,2060.5,2068.25,6478297,13176295
@ES#,7/31/2015,2069,2100,2047.25,2089.25,7793788,13351634
@ES#,8/7/2015,2089.5,2097.75,2052.75,2064.25,7429492,13392217
@ES#,8/14/2015,2062.75,2092.5,2037.25,2080.25,7912112,13758768
@ES#,8/21/2015,2080.25,2094.5,1958,1962.25,11468526,14191919
@ES#,8/28/2015,1955.25,1983.5,1821.75,1980.5,17353648,15163654
@ES#,9/4/2015,1977,1978.5,1889.5,1912.5,11070249,15441303
@ES#,9/11/2015,1907.5,1982.75,1906.5,1950.25,6558892,8084019
@ES#,9/18/2015,1953,2011.75,1935.25,1950.5,10006195,12488083
@ES#,9/25/2015,1949.25,1969,1897.25,1919.25,9221630,14293756
@ES#,10/2/2015,1915.5,1943.75,1861,1943,11463904,14413380
@ES#,10/9/2015,1941,2014,1937.25,2007.5,8401206,14498173
@ES#,10/16/2015,2005.25,2026.5,1982.5,2025.5,7197335,14446933
@ES#,10/23/2015,2024.5,2074.5,2007.5,2066,8540800,14323364
@ES#,10/30/2015,2066,2094.75,2051.25,2073.75,7477784,13813692
@ES#,11/6/2015,2073,2110.25,2064.25,2093.75,7563576,13861414
@ES#,11/13/2015,2092,2097.75,2011.5,2018.5,8250299,14076966
@ES#,11/20/2015,2006.5,2094.5,1998.5,2088.75,7434202,13905773
@ES#,11/27/2015,2089.75,2098.25,2065.5,2090,3893680,11040717
@ES#,12/4/2015,2089.5,2105,2040,2088.5,9521717,13681556
@ES#,12/11/2015,2092.25,2095.5,1996.25,2001.25,9524202,9770823
@ES#,12/18/2015,2001.5,2072.75,1983.25,1992,11081668,11615225
@ES#,12/25/2015,1997.25,2059.75,1995.25,2051.25,3749351,10106617
@ES#,1/1/2016,2051.25,2075,2030.25,2035.5,3279125,9965762
@ES#,1/8/2016,2037.75,2043.5,1910,1911.5,11806740,13001697
@ES#,1/15/2016,1909.25,1946.5,1849.25,1875,14306186,13838325
@ES#,1/22/2016,1869.75,1907.5,1804.25,1899.25,11562388,11401377
@ES#,1/29/2016,1899.5,1933,1851.25,1930,10194507,14381224
@ES#,2/5/2016,1929.75,1940,1865,1875.25,11274706,14713132
@ES#,2/12/2016,1876.25,1884.5,1802.5,1858.25,13048754,15018411
@ES#,2/19/2016,1865.25,1933.5,1865,1914.25,7096449,8963282
