ID,Date,Time,zzPrice,zzChange,zzVolume,zzDelta,zzBars,zzAvgSz,zzTrades,zzSlope,zzWave,zzVolBar,zzVolPrice,zzRetrPer,zzDur
@NQ#_ZIG,12/8/2015,8:47:56,4653.25,-5,2194,0,1,0,0,-83.2,3,2194,0,51.28,59
@NQ#_ZIG,12/8/2015,8:49:57,4661.5,8.25,2457,0,3,0,0,77.8,4,0,0,165,121
@NQ#_ZIG,12/8/2015,8:53:56,4649.25,-12.25,4978,0,6,0,0,-73.8,1,1127,0,148.48,239
@NQ#_ZIG,12/8/2015,8:55:57,4657.75,8.5,1349,0,6,0,0,67.2,a,749,0,69.39,121
@NQ#_ZIG,12/8/2015,8:59:57,4645.5,-12.25,2277,0,10,0,0,-64.1,b,603,0,144.12,240
@NQ#_ZIG,12/8/2015,9:00:56,4651.5,6,650,0,3,0,0,73.5,c,0,0,48.98,59
@NQ#_ZIG,12/8/2015,9:00:58,4645.25,-6.25,0,0,4,0,0,-69.2,d,0,0,104.17,2
@NQ#_ZIG,12/8/2015,9:01:57,4656.25,11,917,0,6,0,0,72,a,0,0,176,59
@NQ#_ZIG,12/8/2015,9:01:57,4650,-6.25,0,0,2,0,0,-79.2,1,0,0,56.82,0
@NQ#_ZIG,12/8/2015,9:02:56,4660.5,10.5,778,0,6,0,0,71.2,2,0,0,168,59
@NQ#_ZIG,12/8/2015,9:02:58,4655,-5.5,0,0,3,0,0,-72,3,0,0,52.38,2
@NQ#_ZIG,12/8/2015,9:03:57,4660.75,5.75,1047,0,2,0,0,78.3,4,0,0,104.55,59
@NQ#_ZIG,12/8/2015,9:04:56,4655.25,-5.5,632,0,2,0,0,-77.8,5,632,0,95.65,59
@NQ#_ZIG,12/8/2015,9:04:57,4659.25,4,0,0,1,0,0,81.6,a,0,0,72.73,1
@NQ#_ZIG,12/8/2015,9:07:56,4651.75,-7.5,3788,0,3,0,0,-76.6,b,2156,0,187.5,179
